"badge","thumbnail-wrapper href","thumbnail-wrapper src","detail-bnt href","product-title","product-available","star-rating","rating","count-rating","rating-text","woocommerce-Price-amount","screen-reader-text","woocommerce-Price-amount 2","woocommerce-Price-currencySymbol 2","screen-reader-text 2","button-primary","button-primary href"
"23%","https://klbtheme.com/bacola/product/all-natural-italian-style-chicken-meatballs/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-62-346x310.jpg","https://klbtheme.com/bacola/shop/430","All Natural Italian-Style Chicken Meatballs","In Stock","Rated  out of 5","4.00","1","Ratings","9.35","Original price was: $9.35.","7.25","$","Current price is: $7.25.","Add to cart","https://klbtheme.com/bacola/shop/?add-to-cart=430"
"","https://klbtheme.com/bacola/product/angies-boomchickapop-sweet-salty-kettle-corn/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-60-346x310.jpg","https://klbtheme.com/bacola/shop/424","Angie’s Boomchickapop Sweet & Salty Kettle Corn","In Stock","Rated  out of 5","4.00","1","Ratings","7.99","This product has multiple variants. The options may be chosen on the product page","","","","Select options","https://klbtheme.com/bacola/product/angies-boomchickapop-sweet-salty-kettle-corn/"
"19%","https://klbtheme.com/bacola/product/field-roast-chao-cheese-creamy-original/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-46-346x310.jpg","https://klbtheme.com/bacola/shop/376","Field Roast Chao Cheese Creamy Original","In Stock","Rated  out of 5","5.00","1","Ratings","24.00","Original price was: $24.00.","19.50","$","Current price is: $19.50.","Add to cart","https://klbtheme.com/bacola/shop/?add-to-cart=376"
"","https://klbtheme.com/bacola/product/foster-farms-takeout-crispy-classic-buffalo-wings/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-45-346x310.jpg","https://klbtheme.com/bacola/shop/373","Foster Farms Takeout Crispy Classic Buffalo Wings","In Stock","Rated  out of 5","4.00","1","Ratings","7.25","","49.99","$","","View products","https://klbtheme.com/bacola/product/foster-farms-takeout-crispy-classic-buffalo-wings/"
"10%","https://klbtheme.com/bacola/product/blue-diamond-almonds-lightly-salted/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-59-346x310.jpg","https://klbtheme.com/bacola/shop/420","Blue Diamond Almonds Lightly Salted","In Stock","Rated  out of 5","5.00","1","Ratings","11.68","Original price was: $11.68.","10.58","$","Current price is: $10.58.","Add to cart","https://klbtheme.com/bacola/shop/?add-to-cart=420"
"12%","https://klbtheme.com/bacola/product/blueberries-1-pint-package/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-58-346x310.jpg","https://klbtheme.com/bacola/shop/416","Blueberries – 1 Pint Package","In Stock","Rated  out of 5","3.00","1","Ratings","4.49","Original price was: $4.49.","3.99","$","Current price is: $3.99.","Add to cart","https://klbtheme.com/bacola/shop/?add-to-cart=416"
"29%","https://klbtheme.com/bacola/product/fresh-organic-broccoli-crowns/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-57-346x310.jpg","https://klbtheme.com/bacola/shop/413","Fresh Organic Broccoli Crowns","In Stock","Rated  out of 5","4.00","1","Ratings","6.77","Original price was: $6.77.","4.85","$","Current price is: $4.85.","Add to cart","https://klbtheme.com/bacola/shop/?add-to-cart=413"
"19%","https://klbtheme.com/bacola/product/chobani-complete-vanilla-greek-yogurt/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-50-346x310.jpg","https://klbtheme.com/bacola/shop/390","Chobani Complete Vanilla Greek Yogurt","In Stock","Rated  out of 5","5.00","1","Ratings","5.49","Original price was: $5.49.","4.49","$","Current price is: $4.49.","Add to cart","https://klbtheme.com/bacola/shop/?add-to-cart=390"
"21%","https://klbtheme.com/bacola/product/fresh-brown-coconut/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-56-346x310.jpg","https://klbtheme.com/bacola/shop/411","Fresh Brown Coconut","In Stock","Rated  out of 5","5.00","1","Ratings","19.58","Original price was: $19.58.","15.48","$","Current price is: $15.48.","Add to cart","https://klbtheme.com/bacola/shop/?add-to-cart=411"
"61%","https://klbtheme.com/bacola/product/american-cheese-singles/","https://klbtheme.com/bacola/wp-content/uploads/2021/04/product-image-61-346x310.jpg","https://klbtheme.com/bacola/shop/428","American Cheese Singles","In Stock","Rated  out of 5","3.00","1","Ratings","8.29","Original price was: $8.29.","3.29","$","Current price is: $3.29.","Add to cart","https://klbtheme.com/bacola/shop/?add-to-cart=428"
